evento_id,timestamp_evento,timestamp_resolucion,ip_origen,ip_destino,puerto_destino,protocolo,tipo_evento,categoria,severidad,sistema_afectado,sistema_operativo,pais_origen,usuario,analista_id,bytes_enviados,bytes_recibidos,accion_tomada,tiempo_respuesta_min,falso_positivo,resuelto
EVT101614,2024-08-23 21:11:26,2024-08-23 22:07:26,151.70.241.104,10.9.34.76,3306.0,FTP,Phishing detectado,Ingeniería social,Media,WS-FIN-014,Windows 11 Pro,México,user_martinez11,ANA008,1036785,280295,Cuarentenado,56,FALSE,TRUE
EVT104241,03/16/2024 13:18,2024-03-16 11:53:00,66.238.112.228,10.8.47.206,8443.0,SMB,Exfiltración de datos,Exfiltración,Crítica,SRV-VPNGATEWAY,Linux Debian 11,Irán,user_garcia88,ANA009,1918856,949645,Cuarentenado,50,FALSE,TRUE
EVT104669,2024-10-30 5:31:03,,213.2.168.63,10.3.13.216,3389.0,RDP,Ransomware detectado,Malware,Crítica,SRV-MONITOR,Linux Ubuntu 22.04,China,user_gonzalez57,ANA010,117858,1230502,Alertado,28,FALSE,TRUE
EVT102694,2024-02-23 13:05:27,2024-02-23 15:13:27,167.175.67.104,10.0.43.59,80.0,TCP,Escalación de privilegios,Control de acceso,Alta,ROUTER-CORE,Cisco IOS,Brasil,,ANA008,3326046,1756088,Bloqueado,128,FALSE,TRUE
EVT104256,2024-05-28 7:24:59,2024-05-28 9:58:59,45.60.51.96,10.2.43.122,3306.0,HTTPS,Acceso no autorizado,Control de acceso,Alta,SRV-AD-REPLICA,Windows Server 2022,Estados Unidos,,ANA010,1309398,1415415,Bloqueado,154,FALSE,TRUE
EVT105055,05/25/2024 14:07,,134.214.102.75,10.10.7.34,1433.0,FTP,Login fallido,Autenticación,Media,ROUTER-CORE,Cisco IOS,Rumania,user_martinez92,ANA007,3925859,1004130,CUARENTENADO,44,FALSE,FALSE
EVT104390,2024-08-02 15:04:33,2024-08-03 2:03:33,195.48.107.236,10.9.9.93,25.0,SMB,Login fallido,Autenticación,Baja,SRV-MAIL-01,Windows Server 2019,Alemania,user_lopez71,ANA006,4971625,1323737,Alertado,659,TRUE,TRUE
EVT101471,2024-02-05 7:58:18,2024-02-05 8:43:18,151.57.5.229,10.0.3.37,8080.0,ICMP,Ransomware detectado,Malware,Crítica,SRV-AD-PRIMARY,Windows Server 2022,Alemania,,ANA012,949216,1335690,Bloqueado,45,FALSE,TRUE
EVT102458,2024-03-20 18:23:22,2024-03-20 21:36:22,221.221.144.82,10.0.28.108,22.0,RDP,Phishing detectado,Ingeniería social,Media,SRV-AD-PRIMARY,Windows Server 2022,India,,ANA002,1297528,1923571,Alertado,193,FALSE,TRUE
EVT103456,2024-09-13 11:24:44,2024-09-13 14:52:44,118.100.15.195,10.8.29.147,8443.0,SMB,Escaneo de puertos,Reconocimiento,Baja,SRV-DB-DEV,Linux CentOS 8,Brasil,user_flores47,ANA006,292074,269749,Alertado,208,FALSE,TRUE
EVT102515,19-Dec-2024 11:07:38,2024-12-19 13:23:38,151.72.31.205,10.2.10.42,8443.0,ICMP,Login fallido,Autenticación,Media,WS-FIN-014,Windows 11 Pro,México,user_gonzalez83,ANA006,1984021,1058213,Alertado,136,FALSE,TRUE
EVT103263,2024-07-22 11:08:22,2024-07-22 11:46:22,103.179.45.98,10.10.29.182,22.0,ICMP,Escalación de privilegios,Control de acceso,Crítica,APP-CRM-01,Linux Ubuntu 20.04,Rumania,,ANA004,1781377,1798519,Bloqueado,38,FALSE,TRUE
EVT102692,2024-05-17 8:56:51,2024-05-17 9:41:51,78.14.14.74,10.9.18.252,8080.0,SMB,DDoS,MALWARE,Alta,SRV-WEB-01,Linux Ubuntu 22.04,Alemania,,ANA007,2400122,1543253,En revisión,45,FALSE,TRUE
EVT104224,2024-01-13 11:55:13,2024-01-13 12:35:13,118.137.73.23,10.6.30.226,443.0,FTP,Ransomware detectado,Malware,Crítica,WS-FIN-022,Windows 11 Pro,México,user_rodriguez82,ANA012,2775898,634607,Alertado,2738,TRUE,TRUE
EVT104867,2024-09-09 14:42:34,2024-09-09 16:03:34,10.9.17.248,10.1.0.36,443.0,ICMP,DDoS,Disponibilidad,Alta,FW-DMZ,Cisco ASA,México,user_rodriguez78,ANA010,485636,1233424,Bloqueado,4623,FALSE,TRUE
EVT101919,2024-08-06 9:11:59,2024-08-06 16:52:59,118.153.35.148,10.4.33.97,25.0,HTTPS,LOGIN EXITOSO,Autenticacion,Baja,NAS-BACKUP-01,Synology DSM,Holanda,user_rodriguez82,ANA009,1524751,803151,Cuarentenado,6119,FALSE,TRUE
EVT101817,2024-03-02 16:53:07,2024-03-02 17:43:07,203.7.141.153,10.5.37.38,25.0,HTTPS,Inyección SQL,Web,Crítica,WS-FIN-022,Windows 11 Pro,Ucrania,user_martinez72,ANA015,272342,244941,Alertado,50,TRUE,TRUE
EVT102827,2024-05-08 10:17:23,2024-05-08 11:15:23,221.237.251.246,10.3.26.50,5432.0,FTP,Exfiltración de datos,Exfiltración,Crítica,SRV-WEB-02,Linux Ubuntu 22.04,México,,ANA007,2069627,930885,Cuarentenado,58,FALSE,TRUE
EVT102851,2024-01-25 17:33:30,2024-01-25 18:05:30,134.164.230.112,10.3.15.140,3389.0,ICMP,ACCESO NO AUTORIZADO,Control de acceso,Alta,SRV-MAIL-01,Windows Server 2019,México,user_garcia88,ANA010,1818850,233433,Bloqueado,32,FALSE,TRUE
